('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802467 function calls (780315 primitive calls) in 1.561 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      397    0.003    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      389    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      384    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      376    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      329    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      329    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      321    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      321    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      313    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      312    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      312    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      303    0.002    0.000    0.105    0.000 re.py:288(_compile)
      301    0.000    0.000    0.105    0.000 re.py:249(compile)
      291    0.000    0.000    0.000    0.000 enum.py:801(value)
      291    0.000    0.000    0.000    0.000 types.py:176(__get__)
      289    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      267    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      267    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      236    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    235/3    0.000    0.000    0.351    0.117 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      227    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      219    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
  208/174    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      207    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
    207/3    0.001    0.000    0.355    0.118 <frozen importlib._bootstrap>:1022(_find_and_load)
    205/3    0.001    0.000    0.355    0.118 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      203    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      192    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      192    0.000    0.000    0.001    0.000 element.py:292(<listcomp>)
      192    0.000    0.000    0.001    0.000 element.py:273(get_text)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      189    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      188    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      188    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
      188    0.000    0.000    0.036    0.000 sre_compile.py:622(_code)
      188    0.001    0.000    0.102    0.001 sre_compile.py:783(compile)
      188    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      188    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      188    0.001    0.000    0.065    0.000 sre_parse.py:944(parse)
      186    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      186    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      186    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      186    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      185    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      182    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  182/179    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    182/3    0.001    0.000    0.353    0.118 <frozen importlib._bootstrap>:664(_load_unlocked)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      174    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      174    0.000    0.000    0.006    0.000 sre_parse.py:97(closegroup)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      168    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      165    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      158    0.067    0.000    0.290    0.002 {method 'read' of '_io.BufferedReader' objects}
    157/1    0.001    0.000    1.561    1.561 {built-in method builtins.exec}
  157/156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      156    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      156    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
      156    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      156    0.010    0.000    0.010    0.000 {built-in method io.open_code}
