('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802477 function calls (780325 primitive calls) in 1.577 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      188    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    235/3    0.000    0.000    0.240    0.080 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      416    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1030    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      192    0.000    0.000    0.001    0.000 element.py:273(get_text)
       51    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
  157/156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      301    0.000    0.000    0.105    0.000 re.py:249(compile)
      376    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      122    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      289    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
     1030    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      189    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       44    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.027    0.027 dammit.py:67(EntitySubstitution)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       43    0.000    0.000    0.770    0.018 {method 'readline' of '_io.BufferedReader' objects}
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        2    0.000    0.000    0.001    0.001 parser.py:59(parsestr)
    70/36    0.000    0.000    0.147    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        7    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
    69/66    0.000    0.000    0.002    0.000 typing.py:306(inner)
        2    0.000    0.000    0.000    0.000 ssl.py:1255(sendall)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      227    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      219    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
      329    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      174    0.000    0.000    0.005    0.000 sre_parse.py:97(closegroup)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
        2    0.000    0.000    0.008    0.004 models.py:1(<module>)
      490    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
       52    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
        2    0.000    0.000    0.746    0.373 client.py:278(_read_status)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       24    0.000    0.000    0.001    0.000 typing.py:483(Union)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
    31/17    0.000    0.000    0.169    0.010 {built-in method builtins.__import__}
    46/31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
